date,location,dead person,hurt person,field3
102年12月09日 14時19分,新北市新店區北宜路三段前0.0公尺數18.9K(宜蘭(附近),1,0,普通重型-機車
102年12月09日 15時45分,新北市樹林區八德街前0.0公尺數柑園二橋道路(口),1,0,自用-小貨車;普通重型-機車
102年12月10日 15時19分,新北市新店區無名路前0.0公尺數國道3號與安一路(附近),1,1,自用-小客車;自用-小客車
102年12月11日 10時41分,新北市淡水區淡金路三段170號前0.0公尺數前(附近),1,0,營業用-大貨車;普通重型-機車;自用-小客車
102年12月13日 09時39分,新北市貢寮區台二線道路前0.0公尺數97.3公里(附近),1,0,營業用-曳引車;行人-人
102年12月17日 17時00分,新北市萬里區台二線道路前0.0公尺數52公里處往基隆(附近)台二線52公里0公尺處西向＿車道,1,1,自用-小客車;自用-小客車
102年12月17日 21時30分,新北市新莊區環河路691號前0.0公尺數,1,0,營業用-小貨車;普通重型-機車;普通重型-機車
102年12月18日 10時47分,新北市樹林區保安街二段45巷前0.0公尺數11070燈桿(附近),1,0,營業用-大貨車;行人-人
102年12月25日 09時32分,新北市土城區頂福里中央路四段396巷前0.0公尺數口(附近),1,0,行人-人;自用-大貨車
102年12月26日 18時40分,新北市樹林區復興路178號前0.0公尺數,1,1,普通重型-機車;行人-人
102年12月26日 22時00分,新北市新店區寶橋路前0.0公尺數家樂福前(附近),1,1,腳踏自行車-慢車;普通重型-機車
102年12月31日 16時36分,新北市永和區永和路二段前0.0公尺數仁愛路(口),1,0,自用-小貨車;行人-人
102年12月31日 20時19分,新北市萬里區加投路243號前0.0公尺數,1,1,普通重型-機車;行人-人
